source,year,state,total_activities,sdg_1_coverage,sdg_1_name,sdg_2_coverage,sdg_2_name,sdg_3_coverage,sdg_3_name,sdg_4_coverage,sdg_4_name,sdg_5_coverage,sdg_5_name,sdg_6_coverage,sdg_6_name,sdg_7_coverage,sdg_7_name,sdg_8_coverage,sdg_8_name,sdg_9_coverage,sdg_9_name,sdg_10_coverage,sdg_10_name,sdg_11_coverage,sdg_11_name,sdg_12_coverage,sdg_12_name,sdg_13_coverage,sdg_13_name,sdg_14_coverage,sdg_14_name,sdg_15_coverage,sdg_15_name,sdg_16_coverage,sdg_16_name,sdg_17_coverage,sdg_17_name
NSW_Richmond Valley_Urban_2025,2025,NSW,51,0.0,No Poverty,0.0,Zero Hunger,0.4706,Good Health and Well-being,0.0392,Quality Education,0.0,Gender Equality,0.1176,Clean Water and Sanitation,0.0784,Affordable and Clean Energy,0.4706,Decent Work and Economic Growth,0.098,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.5882,Sustainable Cities and Communities,0.0784,Responsible Consumption and Production,0.4118,Climate Action,0.0,Life Below Water,0.098,Life on Land,0.1765,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Shoalhaven_Urban_2025,2025,NSW,37,0.027,No Poverty,0.0,Zero Hunger,0.7027,Good Health and Well-being,0.0541,Quality Education,0.0,Gender Equality,0.1081,Clean Water and Sanitation,0.027,Affordable and Clean Energy,0.8649,Decent Work and Economic Growth,0.2162,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.3784,Sustainable Cities and Communities,0.027,Responsible Consumption and Production,0.1351,Climate Action,0.027,Life Below Water,0.027,Life on Land,0.3243,"Peace, Justice and Strong Institutions",0.0541,Partnerships for the Goals
NSW_Randwick_Urban_2025,2025,NSW,91,0.0879,No Poverty,0.011,Zero Hunger,0.5824,Good Health and Well-being,0.1099,Quality Education,0.033,Gender Equality,0.033,Clean Water and Sanitation,0.0989,Affordable and Clean Energy,0.7253,Decent Work and Economic Growth,0.0879,"Industry, Innovation and Infrastructure",0.044,Reduced Inequalities,0.5055,Sustainable Cities and Communities,0.044,Responsible Consumption and Production,0.1758,Climate Action,0.022,Life Below Water,0.0769,Life on Land,0.4176,"Peace, Justice and Strong Institutions",0.0549,Partnerships for the Goals
NSW_Penrith_Urban_2025,2025,NSW,168,0.1071,No Poverty,0.0,Zero Hunger,0.5833,Good Health and Well-being,0.1607,Quality Education,0.0298,Gender Equality,0.0774,Clean Water and Sanitation,0.119,Affordable and Clean Energy,0.7143,Decent Work and Economic Growth,0.1012,"Industry, Innovation and Infrastructure",0.006,Reduced Inequalities,0.4762,Sustainable Cities and Communities,0.0417,Responsible Consumption and Production,0.3214,Climate Action,0.006,Life Below Water,0.0893,Life on Land,0.3095,"Peace, Justice and Strong Institutions",0.0536,Partnerships for the Goals
NSW_Singleton_Urban_2025,2025,NSW,79,0.1266,No Poverty,0.0127,Zero Hunger,0.519,Good Health and Well-being,0.1013,Quality Education,0.038,Gender Equality,0.2025,Clean Water and Sanitation,0.0759,Affordable and Clean Energy,0.7595,Decent Work and Economic Growth,0.1392,"Industry, Innovation and Infrastructure",0.0633,Reduced Inequalities,0.3544,Sustainable Cities and Communities,0.1266,Responsible Consumption and Production,0.2532,Climate Action,0.0127,Life Below Water,0.1013,Life on Land,0.4937,"Peace, Justice and Strong Institutions",0.0253,Partnerships for the Goals
NSW_Strathfield_Urban_2025,2025,NSW,68,0.0882,No Poverty,0.0,Zero Hunger,0.6176,Good Health and Well-being,0.0441,Quality Education,0.0588,Gender Equality,0.1618,Clean Water and Sanitation,0.0147,Affordable and Clean Energy,0.6765,Decent Work and Economic Growth,0.1471,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.6176,Sustainable Cities and Communities,0.0588,Responsible Consumption and Production,0.1912,Climate Action,0.0147,Life Below Water,0.0735,Life on Land,0.5147,"Peace, Justice and Strong Institutions",0.0294,Partnerships for the Goals
NSW_Tamworth_Urban_2025,2025,NSW,1,1.0,No Poverty,0.0,Zero Hunger,1.0,Good Health and Well-being,0.0,Quality Education,0.0,Gender Equality,0.0,Clean Water and Sanitation,0.0,Affordable and Clean Energy,1.0,Decent Work and Economic Growth,0.0,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,1.0,Sustainable Cities and Communities,0.0,Responsible Consumption and Production,1.0,Climate Action,0.0,Life Below Water,0.0,Life on Land,1.0,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Ryde_Urban_2025,2025,NSW,206,0.0874,No Poverty,0.0097,Zero Hunger,0.6553,Good Health and Well-being,0.0631,Quality Education,0.0097,Gender Equality,0.0583,Clean Water and Sanitation,0.1019,Affordable and Clean Energy,0.7476,Decent Work and Economic Growth,0.1165,"Industry, Innovation and Infrastructure",0.0146,Reduced Inequalities,0.5534,Sustainable Cities and Communities,0.0631,Responsible Consumption and Production,0.199,Climate Action,0.0,Life Below Water,0.0728,Life on Land,0.2524,"Peace, Justice and Strong Institutions",0.034,Partnerships for the Goals
NSW_Snowy Monaro_Urban_2025,2025,NSW,152,0.0329,No Poverty,0.0329,Zero Hunger,0.4671,Good Health and Well-being,0.0592,Quality Education,0.0132,Gender Equality,0.0921,Clean Water and Sanitation,0.0395,Affordable and Clean Energy,0.5855,Decent Work and Economic Growth,0.2039,"Industry, Innovation and Infrastructure",0.0066,Reduced Inequalities,0.4013,Sustainable Cities and Communities,0.0724,Responsible Consumption and Production,0.1908,Climate Action,0.0132,Life Below Water,0.0987,Life on Land,0.2303,"Peace, Justice and Strong Institutions",0.0263,Partnerships for the Goals
NSW_Sydney_Urban_2025,2025,NSW,76,0.1184,No Poverty,0.0132,Zero Hunger,0.5526,Good Health and Well-being,0.0921,Quality Education,0.0263,Gender Equality,0.0526,Clean Water and Sanitation,0.2763,Affordable and Clean Energy,0.7895,Decent Work and Economic Growth,0.0921,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.5263,Sustainable Cities and Communities,0.0921,Responsible Consumption and Production,0.2895,Climate Action,0.0,Life Below Water,0.0526,Life on Land,0.3026,"Peace, Justice and Strong Institutions",0.0132,Partnerships for the Goals
