filename,path,state,council,year,has_financial_statements,financial_heading,financial_page,total_pages,total_chars
NSW_Ryde_Urban_2025.pdf,2025/NSW/NSW_Ryde_Urban_2025.pdf,NSW,Ryde,2025,True,general purpose financial statements,197.0,304,593941
NSW_Kiama_Urban_2025.pdf,2025/NSW/NSW_Kiama_Urban_2025.pdf,NSW,Kiama,2025,True,financial statement,58.0,92,164828
NSW_Muswellbrook_Rural_2025.pdf,2025/NSW/NSW_Muswellbrook_Rural_2025.pdf,NSW,Muswellbrook,2025,False,,,196,155160
NSW_North Sydney_Urban_2025.pdf,2025/NSW/NSW_North Sydney_Urban_2025.pdf,NSW,North Sydney,2025,True,general purpose financial statements,97.0,178,316991
NSW_Hawkesbury_Urban_2025.pdf,2025/NSW/NSW_Hawkesbury_Urban_2025.pdf,NSW,Hawkesbury,2025,True,financial statements,42.0,73,158694
NSW_Dungog_Rural_2025.pdf,2025/NSW/NSW_Dungog_Rural_2025.pdf,NSW,Dungog,2025,False,,,72,140894
NSW_Upper Lachlan_Rural_2025.pdf,2025/NSW/NSW_Upper Lachlan_Rural_2025.pdf,NSW,Upper Lachlan,2025,True,financial statements,2.0,370,658129
NSW_Griffith_Urban_2025.pdf,2025/NSW/NSW_Griffith_Urban_2025.pdf,NSW,Griffith,2025,True,audited financial statements,3.0,231,291869
NSW_Wingecarribee_Urban_2025.pdf,2025/NSW/NSW_Wingecarribee_Urban_2025.pdf,NSW,Wingecarribee,2025,True,financial statements,9.0,94,146776
NSW_Blayney_Rural_2025.pdf,2025/NSW/NSW_Blayney_Rural_2025.pdf,NSW,Blayney,2025,True,financial statements,42.0,225,349659
NSW_Fairfield_Urban_2025.pdf,2025/NSW/NSW_Fairfield_Urban_2025.pdf,NSW,Fairfield,2025,True,financial statement,4.0,132,284524
NSW_Port Macquarie Hastings_Urban_2025.pdf,2025/NSW/NSW_Port Macquarie Hastings_Urban_2025.pdf,NSW,Port Macquarie Hastings,2025,False,,,45,63689
NSW_Orange_Urban_2025.pdf,2025/NSW/NSW_Orange_Urban_2025.pdf,NSW,Orange,2025,False,,,130,252082
NSW_Tenterfield_Rural_2025.pdf,2025/NSW/NSW_Tenterfield_Rural_2025.pdf,NSW,Tenterfield,2025,True,financial statements,3.0,211,311480
NSW_Central Darling_Rural_2025.pdf,2025/NSW/NSW_Central Darling_Rural_2025.pdf,NSW,Central Darling,2025,False,,,151,82108
NSW_Woollahra_Urban_2025.pdf,2025/NSW/NSW_Woollahra_Urban_2025.pdf,NSW,Woollahra,2025,False,,,92,48329
NSW_Forbes_Rural_2025.pdf,2025/NSW/NSW_Forbes_Rural_2025.pdf,NSW,Forbes,2025,False,,,86,150774
NSW_Temora_Rural_2025.pdf,2025/NSW/NSW_Temora_Rural_2025.pdf,NSW,Temora,2025,True,general purpose financial statements,117.0,230,391961
NSW_Randwick_Urban_2025.pdf,2025/NSW/NSW_Randwick_Urban_2025.pdf,NSW,Randwick,2025,True,financial statements,40.0,89,329872
NSW_Lane Cove_Urban_2025.pdf,2025/NSW/NSW_Lane Cove_Urban_2025.pdf,NSW,Lane Cove,2025,True,general purpose financial statements,84.0,218,361356
NSW_Blue Mountains_Urban_2025.pdf,2025/NSW/NSW_Blue Mountains_Urban_2025.pdf,NSW,Blue Mountains,2025,True,financial statement,5.0,202,330901
NSW_Hume_Rural_2025.pdf,2025/NSW/NSW_Hume_Rural_2025.pdf,NSW,Hume,2025,True,financial statements,71.0,193,327382
NSW_Shellharbour_Urban_2025.pdf,2025/NSW/NSW_Shellharbour_Urban_2025.pdf,NSW,Shellharbour,2025,True,audited financial statements,3.0,160,340096
NSW_Willoughby_Urban_2025.pdf,2025/NSW/NSW_Willoughby_Urban_2025.pdf,NSW,Willoughby,2025,False,,,116,203895
